parcel_id,reference_area_ha,reference_source,reference_method,computed_forest_area_ha,diff_pct,tolerance_percent,outcome,reason
91201:001:1220,0.25018,geometry,geodesic_wgs84_pyproj,570.380491,227888.045008,5.0,comparable,
91201:001:1230,0.121492,geometry,geodesic_wgs84_pyproj,570.380491,469379.876041,5.0,comparable,
91201:001:1240,0.093497,geometry,geodesic_wgs84_pyproj,570.380491,609952.184562,5.0,comparable,
91201:001:1250,0.146171,geometry,geodesic_wgs84_pyproj,570.380491,390114.537083,5.0,comparable,
91201:001:1260,0.184248,geometry,geodesic_wgs84_pyproj,570.380491,309472.147866,5.0,comparable,
91201:001:1270,0.1213,geometry,geodesic_wgs84_pyproj,570.380491,470122.993405,5.0,comparable,
91201:001:1280,0.11754,geometry,geodesic_wgs84_pyproj,570.380491,485165.008508,5.0,comparable,
91201:001:1290,0.119095,geometry,geodesic_wgs84_pyproj,570.380491,478828.998699,5.0,comparable,
91201:001:1300,0.121689,geometry,geodesic_wgs84_pyproj,570.380491,468619.844029,5.0,comparable,
91201:001:1310,0.119257,geometry,geodesic_wgs84_pyproj,570.380491,478178.416361,5.0,comparable,
91201:001:1320,0.119471,geometry,geodesic_wgs84_pyproj,570.380491,477321.709871,5.0,comparable,
91201:001:1330,0.156847,geometry,geodesic_wgs84_pyproj,570.380491,363554.064789,5.0,comparable,
91201:001:1340,0.287628,geometry,geodesic_wgs84_pyproj,570.380491,198204.925459,5.0,comparable,
91201:001:1350,0.153033,geometry,geodesic_wgs84_pyproj,570.380491,372617.316527,5.0,comparable,
91201:001:1360,0.103768,geometry,geodesic_wgs84_pyproj,570.380491,549568.964421,5.0,comparable,
91201:001:1370,0.117327,geometry,geodesic_wgs84_pyproj,570.380491,486045.977482,5.0,comparable,
91201:001:1380,0.141184,geometry,geodesic_wgs84_pyproj,570.380491,403897.9679,5.0,comparable,
91201:001:1390,0.121594,geometry,geodesic_wgs84_pyproj,570.380491,468986.049476,5.0,comparable,
91201:001:1400,0.126519,geometry,geodesic_wgs84_pyproj,570.380491,450725.955785,5.0,comparable,
91201:001:1410,0.119767,geometry,geodesic_wgs84_pyproj,570.380491,476141.77862,5.0,comparable,
91201:001:1420,0.119181,geometry,geodesic_wgs84_pyproj,570.380491,478483.40759,5.0,comparable,
91201:001:1430,0.146085,geometry,geodesic_wgs84_pyproj,570.380491,390344.255742,5.0,comparable,
91201:001:1440,0.093123,geometry,geodesic_wgs84_pyproj,570.380491,612402.272264,5.0,comparable,
91201:001:1450,0.080878,geometry,geodesic_wgs84_pyproj,570.380491,705135.652464,5.0,comparable,
91201:001:1460,0.299136,geometry,geodesic_wgs84_pyproj,570.380491,190575.977148,5.0,comparable,
91201:001:1470,0.135557,geometry,geodesic_wgs84_pyproj,570.380491,420668.009767,5.0,comparable,
91201:001:1480,0.207203,geometry,geodesic_wgs84_pyproj,570.380491,275176.17409,5.0,comparable,
91201:001:1490,0.083006,geometry,geodesic_wgs84_pyproj,570.380491,687055.736935,5.0,comparable,
91201:001:1500,0.183175,geometry,geodesic_wgs84_pyproj,570.380491,311285.555343,5.0,comparable,
91201:001:1510,0.227649,geometry,geodesic_wgs84_pyproj,570.380491,250452.601154,5.0,comparable,
91201:001:1520,0.131384,geometry,geodesic_wgs84_pyproj,570.380491,434032.3837,5.0,comparable,
91201:001:1530,0.146159,geometry,geodesic_wgs84_pyproj,570.380491,390146.574621,5.0,comparable,
91201:001:1540,0.120692,geometry,geodesic_wgs84_pyproj,570.380491,472491.796474,5.0,comparable,
91201:001:1550,0.121999,geometry,geodesic_wgs84_pyproj,570.380491,467428.824826,5.0,comparable,
91201:001:1560,0.120164,geometry,geodesic_wgs84_pyproj,570.380491,474568.362405,5.0,comparable,
91201:001:1570,0.163599,geometry,geodesic_wgs84_pyproj,570.380491,348545.462992,5.0,comparable,
91201:001:1580,0.191364,geometry,geodesic_wgs84_pyproj,570.380491,297960.497795,5.0,comparable,
91201:001:1590,0.177365,geometry,geodesic_wgs84_pyproj,570.380491,321485.708003,5.0,comparable,
91201:001:1600,0.119118,geometry,geodesic_wgs84_pyproj,570.380491,478736.524287,5.0,comparable,
91201:001:1610,0.085456,geometry,geodesic_wgs84_pyproj,570.380491,667355.171082,5.0,comparable,
91201:001:1620,0.130642,geometry,geodesic_wgs84_pyproj,570.380491,436498.100917,5.0,comparable,
91201:001:1630,1337.0,attribute:haritav,reported_ha,570.380491,-57.338782,5.0,comparable,
91201:001:1640,0.070197,geometry,geodesic_wgs84_pyproj,570.380491,812442.545978,5.0,comparable,
91201:001:1650,1500.0,attribute:haritav,reported_ha,570.380491,-61.974634,5.0,comparable,
91201:001:1660,0.117218,geometry,geodesic_wgs84_pyproj,570.380491,486498.040403,5.0,comparable,
91201:001:1670,0.37128,geometry,geodesic_wgs84_pyproj,570.380491,153525.428518,5.0,comparable,
91201:001:1680,0.147969,geometry,geodesic_wgs84_pyproj,570.380491,385372.964607,5.0,comparable,
91201:001:1690,0.121371,geometry,geodesic_wgs84_pyproj,570.380491,469847.920838,5.0,comparable,
91201:001:1700,0.176936,geometry,geodesic_wgs84_pyproj,570.380491,322265.426482,5.0,comparable,
91201:001:1710,0.211362,geometry,geodesic_wgs84_pyproj,570.380491,269759.525837,5.0,comparable,
91201:001:1720,0.118647,geometry,geodesic_wgs84_pyproj,570.380491,480637.389905,5.0,comparable,
